bandnumber,mass,winglength
1018,761,210
1099,830,210
1034,829,220
1100,752,205
1037,826,208
1036,810,208
1045,776,209
1031,819,203
1029,802,208
1026,770,197
1027,678,201
1024,742,207
1032,746,211
1023,798,213
1092,826,217
1047,744,211
1019,808,202
1203,783,199
1025,788,211
1021,830,214
1204,800,205
1202,763,210
1030,816,211
1020,738,199
1213,798,214
1046,717,204
1055,733,209
1210,775,205
1208,715,202
1206,757,202
1215,765,204
1217,754,207
1211,740,209
1212,725,202
1218,707,200
1207,713,201
1201,765,198
1033,729,205
